Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,92.0,162.25,15.02,127.0,79.8,22.52,10.8,0.92,,2.58,1.5,5.6,,,,16.95,94.5,0.82,207.5,0.0,0.0,14.0,750.0,
2024-01-01 01:00:00,91.5,161.0,25.3,109.95,79.03,24.28,11.52,0.87,,2.42,1.4,5.28,,,,16.9,94.75,1.02,207.0,0.0,0.0,14.0,750.0,
2024-01-01 02:00:00,90.0,170.5,18.02,111.22,73.85,28.15,11.23,0.85,,2.4,1.4,5.12,,,,16.9,94.25,0.68,208.25,0.0,0.0,14.0,750.0,
2024-01-01 03:00:00,89.75,161.25,14.98,115.88,73.8,25.65,11.08,0.86,,2.4,1.4,5.2,,,,16.92,93.75,0.95,193.25,0.0,0.0,14.0,750.0,
2024-01-01 04:00:00,88.5,153.0,16.8,111.1,68.97,25.62,10.5,0.86,,2.4,1.4,5.22,,,,16.95,92.25,1.7,203.25,0.0,0.0,14.0,750.0,
2024-01-01 05:00:00,86.5,143.0,21.08,113.4,77.47,25.0,10.02,0.84,,2.35,1.4,5.1,,,,16.82,92.25,1.1,141.75,0.0,0.0,14.0,750.0,
2024-01-01 06:00:00,86.0,143.5,18.75,110.6,74.08,28.0,10.05,0.8,,2.25,1.32,4.85,,,,16.75,92.0,1.25,166.75,0.0,0.0,14.0,751.0,
2024-01-01 07:00:00,88.25,153.75,17.88,111.28,73.78,27.38,11.08,0.71,,2.05,1.2,4.4,,,,16.75,91.75,1.65,219.25,0.0,0.0,16.25,751.0,
2024-01-01 08:00:00,86.0,153.25,11.57,106.22,63.2,27.68,11.05,0.6,,1.7,1.02,3.7,,,,16.75,90.75,1.45,186.75,0.0,0.0,26.25,752.0,
2024-01-01 09:00:00,87.5,158.0,14.7,95.4,62.7,28.0,10.7,0.56,,1.6,0.9,3.4,,,,17.05,88.75,1.48,187.25,0.0,0.0,44.25,752.25,
2024-01-01 10:00:00,94.0,172.0,17.65,98.6,66.92,25.8,10.55,0.62,,1.77,1.07,3.83,,,,17.68,85.0,1.52,206.75,0.0,0.0,69.75,752.5,
2024-01-01 11:00:00,101.5,180.0,7.95,115.45,67.85,22.32,10.98,0.65,,1.8,1.1,3.92,,,,18.35,81.25,1.58,189.25,0.0,0.0,121.25,752.0,
2024-01-01 12:00:00,108.5,193.0,17.85,110.55,73.35,25.82,11.02,0.67,,1.88,1.1,4.05,,,,19.5,75.25,1.8,117.25,0.0,0.0,161.5,750.75,
2024-01-01 13:00:00,116.0,214.0,9.6,121.45,70.38,21.9,10.1,0.78,,2.0,1.2,4.35,,,,20.53,70.67,2.03,192.33,0.0,0.0,162.0,749.75,
2024-01-01 14:00:00,116.0,,12.33,131.78,73.15,23.5,4.1,0.86,,2.4,1.4,5.2,,,,20.7,70.25,1.9,123.0,0.0,0.0,132.75,749.0,
2024-01-01 15:00:00,120.0,236.0,13.8,112.3,67.88,24.68,7.35,1.04,,2.75,1.65,6.0,,,,20.15,73.25,2.38,200.25,0.0,0.0,84.75,748.25,
2024-01-01 16:00:00,410.67,236.0,4.9,86.0,43.2,28.2,,,,,,,,,,,,,,,0.0,,748.5,
2024-01-01 17:00:00,549.0,197.0,5.95,106.4,61.5,23.3,15.35,0.88,,2.5,1.5,5.35,,,,17.35,87.5,1.6,208.0,0.0,0.0,15.5,749.0,
2024-01-01 18:00:00,103.0,191.0,9.7,111.28,67.08,26.48,15.5,0.88,,2.5,1.5,5.35,,,,16.75,90.75,1.23,160.75,0.0,0.0,15.0,749.25,
2024-01-01 19:00:00,93.25,173.75,12.55,114.1,70.92,21.8,13.85,0.82,,2.32,1.35,5.0,,,,16.52,91.5,1.3,133.5,0.0,0.0,14.25,750.0,
2024-01-01 20:00:00,96.5,189.25,17.9,110.98,73.6,24.3,13.85,0.8,,2.22,1.32,4.85,,,,16.27,92.0,1.3,161.0,0.0,0.0,14.0,750.5,
2024-01-01 21:00:00,116.75,237.5,18.07,123.05,76.03,24.08,13.6,0.79,,2.2,1.3,4.8,,,,15.9,94.0,0.88,103.25,0.0,0.0,14.0,751.0,
2024-01-01 22:00:00,127.75,264.5,18.88,111.32,74.55,26.25,13.65,0.8,,2.25,1.3,4.9,,,,15.9,95.0,1.05,193.0,0.0,0.0,14.0,751.0,
2024-01-01 23:00:00,129.75,269.5,8.82,113.15,67.35,28.18,13.57,0.79,,2.2,1.3,4.77,,,,16.4,91.25,1.12,185.75,0.0,0.0,14.0,751.0,
2024-01-02 00:00:00,137.5,268.25,16.52,114.1,74.18,27.3,11.58,0.87,,2.45,1.45,5.3,,,,16.3,90.25,1.08,177.0,0.0,0.0,14.0,750.0,
2024-01-02 01:00:00,135.5,258.25,12.4,114.45,70.92,24.9,10.68,0.81,,2.28,1.35,4.95,,,,16.15,89.25,1.42,152.0,0.0,0.0,14.0,750.0,
2024-01-02 02:00:00,134.33,249.75,14.95,111.88,71.7,25.82,10.7,0.7,,1.95,1.15,4.25,,,,15.85,89.25,1.38,81.0,0.0,0.0,14.0,750.0,
2024-01-02 03:00:00,134.5,239.25,19.32,108.9,73.62,30.48,10.68,0.57,,1.62,0.92,3.5,,,,15.7,89.75,1.4,140.25,0.0,0.0,14.0,749.75,
2024-01-02 04:00:00,131.25,233.75,21.2,105.4,73.3,27.95,11.3,0.52,,1.45,0.88,3.2,,,,15.72,90.0,1.88,181.5,0.0,0.0,14.75,749.0,
2024-01-02 05:00:00,125.0,219.5,17.7,108.3,57.6,30.25,11.28,0.46,,1.3,0.8,2.85,,,,15.58,90.0,1.48,89.75,0.0,0.0,15.0,749.0,
2024-01-02 06:00:00,121.0,203.75,22.0,95.5,64.25,29.05,10.35,0.44,,1.2,0.7,2.65,,,,15.48,90.5,1.05,238.75,0.0,0.0,15.0,750.0,
2024-01-02 07:00:00,115.0,193.75,11.85,102.08,63.95,27.5,11.18,0.43,,1.18,0.7,2.58,,,,15.55,89.75,0.88,222.0,0.0,0.0,17.5,750.75,
2024-01-02 08:00:00,106.0,182.5,23.1,100.18,66.82,27.95,11.6,0.44,,1.2,0.75,2.65,,,,15.72,87.25,1.85,163.5,0.0,0.0,33.5,751.5,
2024-01-02 09:00:00,103.25,176.25,27.7,88.0,69.3,28.8,11.3,0.48,,1.3,0.8,2.9,,,,16.35,83.75,1.65,285.75,0.0,0.0,72.25,752.0,
2024-01-02 10:00:00,97.25,175.75,16.0,115.1,74.3,26.1,9.85,0.5,,1.43,0.87,3.1,,,,17.52,78.25,1.42,315.75,0.0,0.0,120.5,752.0,
2024-01-02 11:00:00,103.75,192.25,16.12,108.8,70.97,27.1,10.2,0.53,,1.45,0.85,3.18,,,,18.48,73.75,1.7,331.0,0.0,0.0,180.75,751.5,
2024-01-02 12:00:00,103.25,200.0,23.1,109.9,77.25,28.1,10.02,0.62,,1.7,1.0,3.7,,,,19.45,69.75,2.25,122.75,0.0,0.0,203.25,750.5,
2024-01-02 13:00:00,101.5,198.25,14.05,109.62,70.0,27.15,9.93,0.76,,2.1,1.25,4.55,,,,20.1,66.5,2.15,149.25,0.0,0.0,196.5,749.25,
2024-01-02 14:00:00,96.0,191.0,9.95,120.45,65.03,27.65,9.07,0.85,,2.38,1.38,5.12,,,,20.55,64.75,2.22,173.75,0.0,0.0,152.25,748.0,
2024-01-02 15:00:00,104.5,212.0,11.1,125.0,75.52,23.75,8.57,0.86,,2.4,1.4,5.28,,,,20.12,66.0,2.48,212.75,0.0,0.0,98.0,748.0,
2024-01-02 16:00:00,112.0,212.0,12.07,108.28,63.95,28.68,8.03,0.82,,2.3,1.37,5.0,,,,19.53,68.33,2.3,212.33,0.0,0.0,53.33,748.0,
2024-01-02 17:00:00,,,11.68,119.1,72.82,26.85,11.83,0.8,,2.02,1.2,4.35,,,,17.95,76.75,0.57,215.0,0.0,0.0,18.75,748.0,
2024-01-02 18:00:00,,641.0,23.2,132.57,89.4,29.45,14.9,1.43,,3.9,2.3,8.45,,,,16.6,88.75,0.4,215.75,0.0,0.0,15.0,748.0,
2024-01-02 19:00:00,112.0,641.0,23.72,133.35,90.2,24.5,13.45,1.31,,3.65,2.12,7.9,,,,16.05,96.0,0.35,216.5,0.0,0.0,14.75,749.0,
2024-01-02 20:00:00,182.0,416.0,23.28,132.57,89.42,25.42,13.02,1.69,,4.6,2.75,10.02,,,,15.6,98.0,0.43,214.75,0.0,0.0,14.0,749.0,
