latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.50615,77.30375,201.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,7.6,2.8,230,4.4,0.00,80,995.9,33,0.0
2020-01-01T01:00,7.1,1.5,346,4.7,0.00,85,995.7,77,0.0
2020-01-01T02:00,4.4,5.1,8,4.3,0.00,99,995.2,79,0.0
2020-01-01T03:00,3.0,6.1,360,3.0,0.00,100,995.1,100,0.0
2020-01-01T04:00,2.9,4.0,355,2.9,0.00,100,995.2,100,0.0
2020-01-01T05:00,3.0,8.0,5,3.0,0.00,100,995.3,100,0.0
2020-01-01T06:00,2.7,7.9,3,2.7,0.00,100,995.9,100,0.0
2020-01-01T07:00,3.2,5.7,18,3.2,0.00,100,996.8,100,2.0
2020-01-01T08:00,6.0,8.3,34,4.3,0.00,89,998.0,59,77.0
2020-01-01T09:00,9.2,6.8,58,5.1,0.00,75,999.1,82,216.0
2020-01-01T10:00,11.9,7.2,87,5.5,0.00,65,999.4,95,330.0
2020-01-01T11:00,14.1,9.3,118,5.7,0.00,57,999.1,85,476.0
2020-01-01T12:00,15.9,8.4,110,6.5,0.00,54,997.9,91,558.0
2020-01-01T13:00,17.1,8.7,114,7.5,0.00,53,996.9,90,511.0
2020-01-01T14:00,17.8,8.5,118,7.9,0.00,52,996.5,93,453.0
2020-01-01T15:00,17.7,8.0,108,8.1,0.00,53,996.1,91,324.0
2020-01-01T16:00,16.9,5.4,90,9.3,0.00,61,996.1,91,176.0
2020-01-01T17:00,14.1,7.3,79,9.6,0.00,74,996.2,87,48.0
2020-01-01T18:00,14.5,6.4,63,9.2,0.00,70,996.9,92,0.0
2020-01-01T19:00,11.2,9.4,47,8.6,0.00,84,997.1,88,0.0
2020-01-01T20:00,10.4,9.3,36,8.5,0.00,88,997.7,80,0.0
2020-01-01T21:00,9.9,10.3,29,8.1,0.00,89,997.8,82,0.0
2020-01-01T22:00,9.2,10.7,40,7.5,0.00,89,997.9,86,0.0
2020-01-01T23:00,8.6,10.0,64,7.4,0.00,92,997.8,81,0.0
2020-01-02T00:00,8.6,8.2,52,7.2,0.00,91,997.4,64,0.0
2020-01-02T01:00,7.9,9.3,62,6.5,0.00,91,997.1,38,0.0
2020-01-02T02:00,7.8,8.4,65,6.3,0.00,90,996.9,30,0.0
2020-01-02T03:00,6.9,11.7,72,5.6,0.00,92,996.3,20,0.0
2020-01-02T04:00,7.0,9.7,75,5.8,0.00,92,996.3,24,0.0
2020-01-02T05:00,6.3,10.1,55,5.4,0.00,94,996.1,40,0.0
2020-01-02T06:00,5.9,11.2,69,5.0,0.00,94,996.7,13,0.0
2020-01-02T07:00,6.0,11.2,86,5.2,0.00,95,997.3,23,2.0
2020-01-02T08:00,9.7,7.2,96,7.4,0.00,85,998.4,18,80.0
2020-01-02T09:00,12.5,6.2,83,8.7,0.00,78,999.3,11,240.0
2020-01-02T10:00,15.0,6.2,69,9.6,0.00,70,999.8,1,397.0
2020-01-02T11:00,17.0,8.7,73,10.1,0.00,64,999.0,44,511.0
2020-01-02T12:00,18.3,8.8,78,10.5,0.00,60,997.9,22,539.0
2020-01-02T13:00,19.0,9.1,81,10.6,0.00,58,996.7,27,483.0
2020-01-02T14:00,19.4,10.5,74,10.6,0.00,57,995.5,24,410.0
2020-01-02T15:00,19.3,12.1,73,10.6,0.00,57,995.0,19,322.0
2020-01-02T16:00,18.4,10.6,72,11.3,0.00,63,994.9,17,184.0
2020-01-02T17:00,16.1,7.8,56,11.4,0.00,73,994.8,18,49.0
